Designator,Mid X,Mid Y,Layer,Rotation
BT1,64.75,-62.00,B,180.00
C1,120.25,-68.00,T,0.00
C2,120.25,-69.50,T,0.00
C4,124.50,-52.50,T,0.00
C5,134.50,-54.50,T,270.00
C6,133.00,-54.50,T,270.00
C7,133.00,-51.50,T,90.00
C8,128.65,-58.60,T,0.00
C10,104.82,-70.20,T,90.00
C11,95.00,-70.00,T,180.00
C12,105.26,-65.60,T,90.00
C13,134.74,-72.99,T,90.00
C14,134.74,-70.04,T,270.00
C15,94.00,-66.20,T,270.00
C16,95.00,-68.50,T,180.00
C20,124.00,-73.16,T,270.00
C21,71.25,-51.47,T,90.00
C22,87.44,-54.80,T,270.00
C23,79.00,-50.47,T,90.00
C24,85.50,-68.30,T,90.00
C25,76.25,-50.47,T,90.00
C26,77.08,-70.40,T,180.00
C27,77.60,-72.00,T,270.00
C28,91.84,-69.26,T,0.00
C29,84.92,-71.00,T,180.00
C30,80.60,-70.80,T,270.00
C31,90.50,-55.40,T,180.00
C32,70.85,-54.70,T,270.00
C33,69.70,-54.57,T,270.00
C34,85.85,-55.05,T,270.00
C35,84.63,-54.71,T,270.00
C36,77.75,-50.47,T,90.00
C37,107.22,-65.60,T,90.00
C38,138.69,-49.90,T,270.00
C39,137.17,-49.90,T,270.00
D1,124.25,-50.75,T,180.00
D2,129.00,-56.75,T,0.00
D3,129.50,-64.50,T,180.00
D4,129.50,-66.25,T,180.00
D6,129.96,-61.95,T,180.00
D7,87.40,-51.60,T,180.00
D8,119.40,-55.02,T,90.00
D9,97.62,-72.50,T,270.00
D10,99.12,-72.50,T,270.00
D11,100.62,-72.50,T,270.00
F1,65.50,-66.00,T,180.00
J1,65.40,-73.00,T,180.00
J2,143.63,-60.78,B,90.00
J3,99.42,-55.68,T,90.00
J4,88.20,-73.00,T,0.00
J5,83.20,-49.20,B,270.00
J6,65.00,-51.25,T,270.00
L1,129.25,-53.25,T,0.00
L2,76.40,-72.48,T,90.00
L3,107.32,-69.70,T,90.00
L8,85.40,-72.40,T,90.00
Q1,114.92,-70.88,T,0.00
Q2,118.00,-63.87,T,0.00
R1,96.76,-63.00,T,90.00
R2,136.94,-72.21,T,0.00
R3,136.94,-70.81,T,0.00
R4,132.50,-64.50,T,180.00
R5,123.25,-68.00,T,0.00
R6,74.60,-73.00,T,0.00
R7,133.00,-60.45,T,180.00
R9,139.20,-71.51,T,90.00
R10,110.45,-72.28,T,270.00
R11,110.45,-69.28,T,270.00
R12,123.25,-69.50,T,0.00
R13,122.33,-57.50,T,180.00
R14,121.25,-55.25,T,90.00
R15,130.75,-50.01,T,0.00
R16,130.75,-48.50,T,0.00
R17,91.83,-67.39,T,180.00
R18,90.53,-56.87,T,180.00
R19,90.52,-58.38,T,180.00
R20,90.53,-59.85,T,180.00
R23,132.50,-66.00,T,180.00
R24,113.50,-65.40,T,270.00
R25,113.50,-62.37,T,270.00
R27,123.20,-61.20,T,90.00
R29,84.00,-51.60,T,180.00
R30,127.25,-65.50,T,90.00
R33,71.00,-73.00,T,180.00
R37,128.00,-50.00,T,0.00
S1,146.32,-71.87,B,90.00
SW1,108.76,-62.10,T,0.00
SW3,101.00,-62.60,T,180.00
TH1,94.50,-62.94,T,270.00
U1,124.61,-54.95,T,0.00
U2,127.74,-72.01,T,180.00
U3,100.62,-67.50,T,180.00
U5,78.10,-61.10,T,270.00
U6,148.49,-49.35,T,90.00
U8,89.25,-62.97,T,180.00
U9,88.30,-68.30,T,180.00
